Nike                                                                                       ,                            ,             ,                                                    ,                                                                                                    ,                                 ,                   ,                , 
Factory Name                                                                               , Factory Type               , Product Type, Supplier Name                                      , Address                                                                                            , City                            , State             , Postal Code    , Country
"FORMOSA TAFFETA CO., LTD."                                                                , MATERIALS                  , Apparel     , FORMOSA TAFFETA                                    , 317 Shuliou Road                                                                                   , Touliou                         , Yunlin            , 640            , Taiwan
Der Will S.A.                                                                              , FINISHED GOODS             , Equipment   , DER WILL                                           , Monsenor de Andrea 3333 Villa de Mayo                                                              , Buenos Aires                    , Buenos Aires      , 1614           , Argentina
KUO YUEN (VIETNAM) TAY NINH                                                                , MATERIALS                  , Footwear    , KUO YUEN                                           , Thanh Thanh Cong Industrial Zone                                                                   , Trang Bang                      , Tây Ninh          , 840000         , Vietnam
WILSON (VIETNAM) LTD                                                                       , FINISHED GOODS - COMPONENTS, Apparel     , WILSON GARMENT                                     , Lot B5 1 Road D11                                                                                  , Trang Bang                      , Tây Ninh          , 840000         , Vietnam
"CAN SPORTS VIETNAM CO., LTD"                                                              , FINISHED GOODS             , Footwear    , SPORTS GEAR                                        , THUAN HOA HAMLET TRUONG MIT COMMUNE                                                                , DUONG MINH CHAU DISTRICT        , Tây Ninh          , 730000         , Vietnam
CHANG SHIN INDONESIA                                                                       , FINISHED GOODS             , Footwear    , CHANGSHIN                                          , JL DUSUN GINTUNGKOLOT                                                                              , KARAWANG                        , Jawa Barat        , 41371          , Indonesia
"TREMON SPORTING GOODS ENTERPRISE CO.,LTD (A STRIKER)"                                     , FINISHED GOODS             , Equipment   , TREMON                                             , Lot 24 Road No6 Trang Bang Industrial Park                                                         , Tay Ninh                        , Tây Ninh          , 80000          , Vietnam
"Dalian YKK Zipper Co.,Ltd."                                                               , MATERIALS                  , Apparel     , YKK                                                , No 50 Tieshan West Road                                                                            , Dalian                          , Liaoning          , 116000         , China
Imperial Winona                                                                            , FINISHED GOODS             , Apparel     , PARAMOUNT                                          , Highway 19                                                                                         , Winona                          , Missouri          , 65588          , USA
Mas Fabrics Pvt Ltd - Methliya                                                             , FINISHED GOODS             , Apparel     , MAS HOLDINGS                                       , Mas Fabric Park                                                                                    , Kegalle                         , Kegalla           , 71000          , Sri Lanka
PT YC TEC INDONESIA                                                                        , FINISHED GOODS - COMPONENTS, Footwear    , YC TEC CORPORATION                                 , Kp Cisantri RT 002 RW001                                                                           , Purwakarta                      , Jawa Barat        , 41181          , Indonesia
"Shoetown Hunan FOOTWEAR CO.,LTD"                                                          , FINISHED GOODS             , Footwear    , SHOETOWN                                           , "Deng Ta Road, Qiyang Development Zone"                                                            , YongZhou City                   , Hunan             , 426100         , China
"VERTEX APPAREL 2022 CO.,LTD."                                                             , FINISHED GOODS             , Apparel     , HI TECH                                            , 18 Moo 2 Nonphueng Warinchamrap                                                                    , Ubonratchathani                 , Ubon Ratchathani  , 34190          , Thailand
"Enping Kam Hing Textile And Dyeing Co., Ltd."                                             , MATERIALS                  , Apparel     , KAM HING                                           , No 68 Industrial North Road                                                                        , Enping City                     , Guangdong         , 529400         , China
"Berry Apparel (Cambodia) Co., Ltd."                                                       , FINISHED GOODS             , Apparel     , RAMATEX                                            , Phum Chumpou Voin                                                                                  , Phnom Penh                      , Phnom Penh        , 120911         , Cambodia
DUCKSAN CO LTD (Vietnam)                                                                   , MATERIALS                  , Footwear    , DUCKSAN                                            , Lot A4 Dat Cuoc Industrial Dat Cuoc ward                                                           , Bac Tan Uyen                    , Bình Duong        , 590000         , Vietnam
"Unipax Vi Thanh C.,Ltd."                                                                  , FINISHED GOODS             , Apparel     , HWASEUNG CROWN                                     , Land plot No 19 Map sheet No 7                                                                     , Vi Thanh                        , Hu Giang          , 95000          , Vietnam
Staples Promotional Products                                                               , FINISHED GOODS             , Apparel     , STAPLES CONTRACT AND COMMERCIAL                    , 1520 Albany Place SE                                                                               , Orange City                     , Iowa              , 51041          , USA
TONG HONG TANNERY CO LTD (CHINA)                                                           , MATERIALS                  , Footwear    , TONG HONG                                          , HEPU COUNTY                                                                                        , Bekasi                          , Guangxi           , 536000         , China
Sterling Apparel Manufacturing L.L.C. Sahab                                                , FINISHED GOODS             , Apparel     , MAS HOLDINGS                                       , Building D Altajamouat Industrial City                                                             , Sahab                           , Amman             , 11636          , Jordan
"SUMBER MASANDA JAYA, PT"                                                                  , FINISHED GOODS             , Footwear    , PRATAMA                                            , Jl Raya Bangsri                                                                                    , Brebes                          , Jawa Tengah       , 52253          , Indonesia
Sarno Display S.r.l.                                                                       , FINISHED GOODS             , Equipment   , GATTO                                              , Via Galileo Galilei 30                                                                             , Carnate                         , Lombardia         , 20866          , Italy
"Sato knit Co., Ltd"                                                                       , FINISHED GOODS             , Apparel     , SATO KNIT                                          , 2653 -1 Kitahama-machi                                                                             , Amakusa-city                    , Kumamoto          , 863 0011       , Japan
LION BROTHERS (SHENZHEN) CO. LTD.                                                          , FINISHED GOODS - COMPONENTS, Apparel     , LION BROTHERS                                      , 101 201 301 501 Building B Hongfa Industrial Town                                                  , Shenzhen                        , Guangdong         , 518103         , China
"Feng Tay Enterprises Co., Ltd"                                                            , FINISHED GOODS             , Footwear    , FENG TAY                                           , No 52 Kegong 8th Road                                                                              , Douliou                         , Yunlin            , 640            , Taiwan
Far Eastern Apparel Limited Vietnam                                                        , FINISHED GOODS             , Apparel     , FAR EASTERN                                        , St 32 12A VSIP II A                                                                                , Binh Duong                      , Bình Duong        , 750000         , Vietnam
Delta Socks Ltd.                                                                           , FINISHED GOODS             , Equipment   , DELTA                                              , INDUSTRIAL ZONE 1 HAYOTZRIM ST                                                                     , KARMIEL                         , H_efa             , 20100          , Israel
"Xiamen Goge Garment Co., LTD"                                                             , FINISHED GOODS             , Apparel     , XIAMEN GOGE                                        , Room 703 No 9 to 6 Tongming North Road Tongan District                                             , Xiamen                          , Fujian            , 361113         , China
Viet Khanh Company Limited                                                                 , FINISHED GOODS             , Apparel     , SOUTH ISLAND                                       , Hoa Phuc Hamlet                                                                                    , Tien Giang                      , Tin Giang         , 860000         , Vietnam
HAYAFUJI                                                                                   , FINISHED GOODS             , Footwear    , HAYAFUJI                                           , 96 9                                                                                               , Kyoto-shi                       , Kyoto             , 603-8487       , Japan
AVERY DENNISON (GUANGZHOU) CONVERTED PRODUCTS LTD.                                         , MATERIALS                  , Footwear    , AVERY DENNISON                                     , 7 Guangyi Road Nansha District                                                                     , Guangzhou                       , Guangdong         , 511458         , China
JK GARMENTS PVT LTD                                                                        , FINISHED GOODS             , Apparel     , HONSIN                                             , MADAGALLA ROAD IBBAGAMUWA                                                                          , KURUNEGALA                      , Kurunegala        , 60500          , Sri Lanka
HESHAN TOP EAGLE GARMENT LTD.                                                              , FINISHED GOODS             , Apparel     , NICE APPAREL                                       , NO 001 DISTRICT 3 OF HECHENG INDUSTRIAL PARK                                                       , Heshan                          , Guangdong         , 529727         , China
"Pilotknit Sport Wear Co.,ltd."                                                            , FINISHED GOODS             , Apparel     , PILOT                                              , "89 13 Moo 2 Rama ll Road T Kokkrabur,Muang,Samut Sakhon,74000"                                    , Muang                           , Samut Sakhon      , 74000          , Thailand
PT Morich Indo Fashion                                                                     , FINISHED GOODS             , Apparel     , MORICH                                             , JL RAYA KARANGJATI KM 25 GEMBONGAN KARANGJATI BERGAS                                               , UNGARAN                         , Jawa Tengah       , 50552          , Indonesia
Vertical Knits S.A. de C.V.                                                                , FINISHED GOODS             , Apparel     , VERTICAL KNITS                                     , CALLE 20 131 C X 27 Y 29                                                                           , Baca                            , Yucatán           , 97450          , Mexico
"Ningbo Huayao Textile co.,ltd"                                                            , FINISHED GOODS             , Apparel     , SHENZHOU                                           , No 888 Tinhai Road Chunxiao Industrial Zone                                                        , Ningbo                          , Zhejiang          , 315800         , China
"Textiles La Paz, L.L.C."                                                                  , FINISHED GOODS             , Apparel     , FUN TEES                                           , Zona Franca El Pedregal                                                                            , El Rosario La Paz               , La Paz            , 28026          , El Salvador
"JOONGANG DYEING FABRIC CO., LTD"                                                          , MATERIALS                  , Footwear    , JOONGANG TEXTILE                                   , 17 Hasinbeonyeong ro                                                                               , Busan                           , Busan Gwangyeogsi , 49432          , South Korea
SUNNY JET HOSIERY (CAMBODIA) CO.LTD                                                        , FINISHED GOODS             , Apparel     , SUNNY JET                                          , National Road 02                                                                                   , Phnom Penh                      , Taakaev           , 210810         , Cambodia
PAIHO (TAIWAN)- Knitting                                                                   , MATERIALS                  , Footwear    , PAIHO GROUP                                        , "NO 575 HO KANG ROAD HO MEI TOWN CHANG HUA HSIEN,Changhua,50844"                                   , CHANG HUA HSIEN                 , Changhua          , 50844          , Taiwan
Song Hong Garment JSC_Song Hong7 ( Factory 11.12.13.14)                                    , FINISHED GOODS             , Apparel     , SONG HONG                                          , Industrial Cluster in Hai Phuong Commune                                                           , Nam Dinh                        , Nam Ðnh           , 420000         , Vietnam
"Paramount Apparel International, LLC."                                                    , FINISHED GOODS             , Apparel     , PARAMOUNT                                          , 1916 Imperial Way                                                                                  , Bourbon                         , Missouri          , 65441          , USA
Ramatex Apparel Suzhou Ltd.                                                                , FINISHED GOODS             , Apparel     , RAMATEX                                            , "115 Ting Nan Lu, Wei Ting Town, Suzhou Industrial Park"                                           , Suzhou                          , Jiangsu           , 215121         , China
Vo Nhai 1 Garment Branch – TNG Investment and Trading JSC                                  , FINISHED GOODS             , Apparel     , VO NHAI 1 GARMENT BRANCH                           , Cay Bong Industrial Park La Hien Commune Vo Nhai District                                          , Thai Nguyen                     , Thái Nguyên       , 24000          , Vietnam
SAN FANG (TR1) (TAIWAN)                                                                    , MATERIALS                  , Footwear    , SAN FANG                                           , NO 402 FENGREN ROAD                                                                                , Kaohsiung                       , Kaohsiung         , 814            , Taiwan
DASS Nordeste Calcados e Artigos Esportivos LTDA.                                          , FINISHED GOODS             , Footwear    , DASS                                               , RUA PROFESSORA MARIA LIA CELIA VELLAME                                                             , SANTO ESTEVAO                   , Bahia             , 44190-000      , Brazil
"XingNing City XinChang Shoes Co., LTD. YeTang Branch"                                     , FINISHED GOODS - COMPONENTS, Footwear    , DEAN SHOES                                         , West side of Tongzhong Road Line S225                                                              , Meizhou                         , Guangdong         , 514000         , China
"Pacific Athletic Wear, Inc. "                                                             , FINISHED GOODS             , Apparel     , PACIFIC ATHLETIC WEAR                              , 7340 Lampson Avenue                                                                                , Garden Grove                    , California        , 92841          , USA
BAIKSAN (KOREA)                                                                            , MATERIALS                  , Footwear    , BAIKSAN                                            , 10 Noksansandan 382 ro                                                                             , Busan                           , Gyeongsangnamdo   , 46757          , South Korea
Avery Dennison Tekstil Urunleri Sanayi ve Ticaret Ltd. Sti.                                , MATERIALS                  , Apparel     , AVERY DENNISON                                     , Gocerler Mahallesi Baskomutan Ataturk Caddesi                                                      , Tekirdag                        , Tekirdag          , 59600          , Turkey
"Dong Guan Goldenprene Sporting Goods Co., Ltd."                                           , FINISHED GOODS             , Equipment   , GUANG DER                                          , Summitop Industrial                                                                                , "Liaobu Town, Dong Guan"        , Guangdong         , 523406         , China
YOUNGIL (INDONESIA)                                                                        , MATERIALS                  , Footwear    , YOUNGIL LEATHER                                    , GRAHA BALARAJA INDUSTRIAL ESTATE E3 E5                                                             , Tangerang Banten                , Banten            , 15610          , Indonesia
"JIANGSU JINHUBAO GARMENT CO., LTD"                                                        , FINISHED GOODS             , Apparel     , DECOR                                              , LIDIAN TOWN GUANGLING DISTRICT                                                                     , YANGZHOU                        , Jiangsu           , 225106         , China
PT PRATAMA ABADI INDUSTRI                                                                  , FINISHED GOODS             , Footwear    , PRATAMA                                            , Jalan Raya Bandung Tasikmalaya KM 43 Desa Cijolang                                                 , Garut                           , Jawa Barat        , 44186          , Indonesia
"LEE BOU INTERNATIONAL BINH DUONG INT'L. CO., LTD"                                         , FINISHED GOODS - COMPONENTS, Apparel     , LEE BOU LABEL ENTERPRISE                           , VSIP 2 A 10 NUMBER 30 STREET                                                                       , Tan Uyen Town                   , Bình Duong        , 590000         , Vietnam
"Evermax Garment Accessories (Cambodia)Co., LTD"                                           , MATERIALS                  , Apparel     , MAXIM                                              , Phum Trapeang Thnong                                                                               , Khan Por Sen Chey               , Phnom Penh        , 120901         , Cambodia
"BRANCH 1 OF GREENTECH HEADGEAR CO., LTD IN DONG NAI"                                      , FINISHED GOODS             , Apparel     , ASIAN SOURCING HEADWEAR                            , ROAD No 3 NHON TRACH 2 IZ NHON PHU                                                                 , NHON TRACH                      , Ðng Nai           , 810000         , Vietnam
VINH TIEN GARMENT JOINT STOCK COMPANY                                                      , FINISHED GOODS             , Apparel     , SOUTH ISLAND                                       , 1A HUNG DAO VUONG WARD 1 VINH LONG CITY VINH LONG PROVINCE                                         , Vinh Long                       , Vinh Long         , 84-0270        , Vietnam
"CHANG SHIN VIETNAM COMPANY, LTD."                                                         , FINISHED GOODS             , Footwear    , CHANGSHIN                                          , Thanh Phu Vinh Cuu Dong Nai                                                                        , Dong Nai                        , Ðng Nai           , 76000          , Vietnam
COCALQUI COOPERATIVA DE TRABALHO DA INDUSTRIA DE CALCADOS DE QUIXERAMOBIM LTDA.            , FINISHED GOODS             , Footwear    , ANIGER                                             , AV JOSE G PINHEIRO 155 EDMILSON CORREIA                                                            , QUIXERAMOBIM                    , Ceará             , 63800-000      , Brazil
POVOLO SRL                                                                                 , FINISHED GOODS             , Apparel     , POVOLO                                             , VIA GRAN BRETAGNA 1                                                                                , Gallarate                       , Varese            , 21013          , Italy
"Men-Chuen Viet Nam Co., Ltd. (Nhon Trach VI)"                                             , FINISHED GOODS - COMPONENTS, Apparel     , MEN CHUEN                                          , ROAD NO 9 Nhon Trach VI Industrial Park                                                            , Nhon Trach                      , Ðng Nai           , 810000         , Vietnam
PT Victory Chingluh Indonesia                                                              , FINISHED GOODS             , Footwear    , CHING LUH                                          , JL Raya Pasarkemis Rajeg                                                                           , Tangerang                       , Banten            , 15560          , Indonesia
"Olive Apparel (Cambodia) Co., Ltd."                                                       , FINISHED GOODS             , Apparel     , RAMATEX                                            , National Road No 3 Phum Prey Kambot                                                                , Phnom Penh                      , Phnom Penh        , 120910         , Cambodia
PT. Kanindo Makmur Jaya                                                                    , FINISHED GOODS             , Equipment   , KANAAN                                             , Jalan Raya Jepara Kudus                                                                            , Jepara                          , Jawa Tengah       , 59462          , Indonesia
South Island Garment Sdn Bhd                                                               , FINISHED GOODS             , Apparel     , SOUTH ISLAND                                       , 2468 Solok Perusahaan Dua                                                                          , Perai                           , Pulau Pinang      , 13600          , Malaysia
"Toyama Sports Goods Co., Ltd."                                                            , FINISHED GOODS             , Equipment   , TOYAMA SPORTS                                      , 345 Fukumitsu                                                                                      , Nanto                           , Toyama            , 939-1637       , Japan
EVEREST TEXTILE CO LTD                                                                     , MATERIALS                  , Apparel     , EVEREST TEXTILE                                    , No 256 Minghe Village                                                                              , Tainan City                     , Tainan            , 743002         , Taiwan
Big Game Sports                                                                            , FINISHED GOODS             , Equipment   , BIG GAME SPORTS                                    , 13835 Welch Rd                                                                                     , Dallas                          , Texas             , 75244          , USA
PT Semarang Garment                                                                        , FINISHED GOODS             , Apparel     , ONTIDE                                             , JL Soekarno Hatta Km 25                                                                            , Semarang                        , Jawa Tengah       , 50552          , Indonesia
Charmgo (Cambodia) Co. Ltd                                                                 , FINISHED GOODS             , Apparel     , CHARMGO                                            , Pham Bostanei Kuhn Kaheing Srok Samrongtong Kampong Spey                                           , Kampong Spey                    , Kampong Spueu     , 5207           , Cambodia
SAN FANG (TR1) (CHINA)                                                                     , MATERIALS                  , Footwear    , SAN FANG                                           , YUE YUEN INDUSTRIAL PARK                                                                           , "DONGGUAN, GUANGDONG"           , Guangdong         , 511700         , China
Song Hong - Nghia Hung Garment Joint Stock Company                                         , FINISHED GOODS             , Apparel     , SONG HONG NGHIA HUNG COMPANY                       , Team 12 Nghia Phong Commune                                                                        , Nam Dinh                        , Nam Ðnh           , 420000         , Vietnam
MAXPORT LIMITED VIET NAM NAM DINH BRANCH MAXPORT 05                                        , FINISHED GOODS             , Apparel     , MAXPORT                                            , Lot No85 Map No44                                                                                  , Nam Dinh                        , Nam Ðnh           , 42000          , Vietnam
"Fu-Luh Shoes Co., LTD"                                                                    , FINISHED GOODS             , Footwear    , CHING LUH                                          , Tri Yen Hamlet Tan Kim Commune Can Giuoc County                                                    , Long An                         , Long An           , 82500          , Vietnam
"TIONG LIONG-Tiong Liong Industrial Co., Ltd. (Lamination)"                                , MATERIALS                  , Footwear    , TIONG LIONG GROUP                                  , NO 8 Lane 758 SEC 3 ZHONGQING RD                                                                   , Taichung City                   , Taichung          , 428            , Taiwan
"CHANG SHIN VIETNAM CO., LTD"                                                              , FINISHED GOODS             , Footwear    , CHANGSHIN                                          , Lot C Loc An Binh Son Industrial Zone                                                              , Long Thanh District             , Ðng Nai           , 61             , Vietnam
"Future Garment Co., Ltd."                                                                 , FINISHED GOODS             , Apparel     , HI TECH                                            , 211 18 26                                                                                          , Bangkok                         , Bangkok           , 10120          , Thailand
Qingyuan City Liannan Yao Nationality Autonomous County Rongfang Footwear                  , FINISHED GOODS             , Footwear    , SHOETOWN                                           , "50 Yan Jiang East Road,San Jiang Town Lian Nan County"                                            , QING YUAN                       , Guangdong         , 513300         , China
"Cheng Horng Industrial Co., Ltd."                                                         , MATERIALS                  , Apparel     , LITTLE KING                                        , No 230 Hongzun Road                                                                                , Taoyuan                         , Taoyuan           , 324            , Taiwan
GreenTech Headgear Company Limited                                                         , FINISHED GOODS             , Apparel     , ASIAN SOURCING HEADWEAR                            , D02 Street Chau Duc Industrial Zone                                                                , Chau Duc                        , Bà Ra - Vung Tàu  , 78000          , Vietnam
Gianel Shoes srl                                                                           , FINISHED GOODS             , Footwear    , GIANEL                                             , ZONA INDUSTRIALE                                                                                   , CASARANO                        , Lecce             , 73042          , Italy
"Apple Apparel (Cambodia) Co., Ltd."                                                       , FINISHED GOODS             , Apparel     , RAMATEX                                            , Phum Chumpou Voin                                                                                  , Phonm Penh                      , Phnom Penh        , 120911         , Cambodia
"Annora Vietnam  Footwear Co.,Ltd"                                                         , FINISHED GOODS             , Footwear    , HUALI                                              , Nghi Son Economic Zone                                                                             , Nghi Son Township               , Thanh Hóa         , 450000         , Vietnam
TKG TAEKWANG VINA JOINT STOCK COMPANY-MY THO BRANCH                                        , FINISHED GOODS - COMPONENTS, Footwear    , TAEKWANG                                           , 864 Street C group                                                                                 , My Tho                          , Tin Giang         , 860000         , Vietnam
Pou Chen Corporation                                                                       , FINISHED GOODS             , Footwear    , POU CHEN                                           , No 2 Fugong Rd                                                                                     , Changhua                        , Changhua          , 506027         , Taiwan
"Vietnam Golden Victory Co., Ltd."                                                         , FINISHED GOODS             , Footwear    , STELLA                                             , DONG KY VILLAGE NGHIA MINH WARD NGHIA HUNG DISTRICT                                                , Nam Dinh                        , Nam Ðnh           , 420000         , Vietnam
Zhejiang Guangtai Delta Socks Co. Ltd.                                                     , FINISHED GOODS             , Equipment   , DELTA                                              , 36 Kaixiang Avenue                                                                                 , Datang Street Zhuji             , Zhejiang          , 311812         , China
"Oriental Garment Co., Ltd – Nongbuadang"                                                  , FINISHED GOODS             , Apparel     , ORIENTAL GARMENT                                   , 178 Moo 17                                                                                         , Nongbuadang                     , Chaiyaphum        , 36210          , Thailand
EUN SUNG GLOBAL CO LTD (KOREA)                                                             , MATERIALS                  , Footwear    , EUN SUNG GLOBAL                                    , 39 DONGBUK RO 473 BEON GIL                                                                         , "Gimhae, Gyeongnam"             , Gyeongsangnamdo   , 621 010        , South Korea
Dae Young Vina                                                                             , FINISHED GOODS - COMPONENTS, Footwear    , DAE YOUNG RUBBER                                   , Ong Dong quarter                                                                                   , Tan Uyen                        , Bình Duong        , 75000          , Vietnam
Interloop Limited                                                                          , FINISHED GOODS             , Equipment   , INTERLOOP                                          , 7 km Khurrianwala Jaranwala Road                                                                   , Faisalabad                      , Punjab            , 37660          , Pakistan
TKG TAEKWANG VINA JOINT STOCK COMPANY                                                      , FINISHED GOODS             , Footwear    , TAEKWANG                                           , No 8 Road 9A                                                                                       , BIEN HOA                        , Ðng Nai           , 700000         , Vietnam
Sportek                                                                                    , FINISHED GOODS             , Footwear    , DIAMANT                                            , Milosa Oblica                                                                                      , Kotor Varos                     , Republika Srpska  , 78220          , Bosnia
KURARAY CO LTD (CLARINO) (TR1) (TR1) (CHINA)                                               , MATERIALS                  , Footwear    , KURARAY                                            , NO 1568 Dongfang Road Jiaxing                                                                      , Jiaxing Zhejiang                , Zhejiang          , 314031         , China
Dass Sul Calcados e Artigos Esportivos Ltda                                                , FINISHED GOODS             , Apparel     , CLASSICO                                           , "Marcilio Dias, 10"                                                                                , Saudades                        , Santa Catarina    , 89868-000      , Brazil
"Fujian Xiefeng Footwear Co.,Ltd."                                                         , FINISHED GOODS             , Footwear    , FENG TAY                                           , NO 888 CHENGHAN WEST ROAD                                                                          , Putian                          , Fujian            , 351131         , China
PT. SHOETOWN LIGUNG INDONESIA                                                              , FINISHED GOODS             , Footwear    , SHOETOWN                                           , "JALAN LANUD SUKANI, DESA BUNTU"                                                                   , MAJALENGKA                      , Jawa Barat        , 45456          , Indonesia
SAN FANG (TR1) (VIETNAM)                                                                   , MATERIALS                  , Footwear    , SAN FANG                                           , LOT II4 MY XUAN A2 INDUSTRIAL PARK                                                                 , PHU MY TOWN                     , Bà Ra - Vung Tàu  , 78707          , Vietnam
"Eagle Nice (Yifeng) Garments Co., Ltd"                                                    , FINISHED GOODS             , Apparel     , EAGLE NICE                                         , No 76 Gong Zhang Road                                                                              , Yifeng                          , Jiangxi           , 336300         , China
PT ECLAT TEXTILE INTERNATIONAL                                                             , FINISHED GOODS             , Apparel     , ECLAT                                              , Jl SAPTARENGGA No 11 Kel Wonorejo Kec Kaliwungu                                                    , Kendal                          , Jawa Tengah       , 51372          , Indonesia
Pingxiang City Guangxuan Footwear Co. Ltd.                                                 , FINISHED GOODS - COMPONENTS, Footwear    , SHOETOWN                                           , "Zhuting industrial zone, Xuanfeng town, Luxi county Pingxiang city,"                              , Pingxiang                       , Jiangxi           , 337000         , China
Viet Long Hung Garment Company Limited                                                     , FINISHED GOODS             , Apparel     , SOUTH ISLAND                                       , Hung Thanh Hamlet                                                                                  , Go Cong City                    , Tin Giang         , 860000         , Vietnam
YOU YOUNG (VIETNAM)                                                                        , MATERIALS                  , Footwear    , YOU YOUNG                                          , Lot L VIET HUNG 2 INDUSTRIAL PARK                                                                  , "Ben Cat, Binh Duong"           , Bình Duong        , 820000         , Vietnam
ROLLSPORT VIETNAM FOOTWEAR LIMTED                                                          , FINISHED GOODS - COMPONENTS, Footwear    , HUALI                                              , TAY HO VILLAGE                                                                                     , Tho Xuan                        , Thanh Hóa         , 440000         , Vietnam
Ningbo Shenzhou Knitting Co. Ltd. Nbr 6 Garment Factory                                    , FINISHED GOODS             , Apparel     , SHENZHOU                                           , INTERSECTION OF DAGANG ROAD 5th ROAD                                                               , NingBo                          , Zhejiang          , 315800         , China
NAM THIEN COMPANY LIMITED                                                                  , FINISHED GOODS             , Apparel     , SOUTH ISLAND                                       , Lot IV No 13 No 4 Street                                                                           , Ho Chi Minh                     , Ho Chi Minh       , 700000         , Vietnam
KWAN TAT VIET NAM INDUSTRIAL LIMITED                                                       , FINISHED GOODS             , Apparel     , KWAN TAT VIET NAM INDUSTRIAL LIMITED               , T6 147M 6 group                                                                                    , Thuan An                        , Bình Duong        , 752118         , Vietnam
KUO YUEN (TR1) (CHINA)                                                                     , MATERIALS                  , Footwear    , KUO YUEN                                           , NO 2 Jing Cheng 2 Road Huang Jiang Dong Guan China                                                 , Dongguan                        , Guangdong         , 523750         , China
"Xiamen Hongting Garment Co., Ltd."                                                        , FINISHED GOODS             , Apparel     , HADDAD                                             , No175 Ji an Road tongan District                                                                   , Xiamen                          , Fujian            , 361100         , China
TIGAMARO SRL                                                                               , FINISHED GOODS             , Apparel     , TIGAMARO                                           , Via Cristoforo Colombo 164                                                                         , Macerata                        , Macerata          , 62029          , Italy
Maxport Limited (Viet Nam) - Thai Binh Branch                                              , FINISHED GOODS             , Apparel     , MAXPORT                                            , Lot with area of 110238 m2                                                                         , Vu Thu                          , Thái Bình         , 410000         , Vietnam
Dass Nordeste Calcados e Artigos Esportivos Ltda                                           , FINISHED GOODS             , Footwear    , DASS                                               , Av Juracy Magalhaes 5100                                                                           , Vitoria da Conquista            , Bahia             , 45023-490      , Brazil
MAS Al Safi Apparel Manufacturing LLC - Madaba                                             , FINISHED GOODS             , Apparel     , MAS HOLDINGS                                       , Dulailet Alhamaideh Leb and Mlaih                                                                  , Madaba                          , Madaba            , 11636          , Jordan
YANCHENG XINBO GARMENTS CO LTD                                                             , FINISHED GOODS             , Apparel     , DECOR                                              , NO11 CHANGJIANG RD                                                                                 , Yancheng                        , Jiangsu           , 224007         , China
Diamant srl                                                                                , FINISHED GOODS             , Footwear    , DIAMANT                                            , Viale del Lavoro 8                                                                                 , Sorga                           , Verona            , 37060          , Italy
Yangxin Poujia Footwear Co. Ltd.                                                           , FINISHED GOODS             , Footwear    , POU CHEN                                           , No 1 Baojia Rd North Industrial Park YangXin HUBEI CHINA                                           , Huangshi                        , Hubei             , 435200         , China
ENVA TEXTILE GROUP FOR SOCKS PRODUCTION S.A.E                                              , FINISHED GOODS             , Apparel     , ENVA TEXTILE GROUP                                 , ISMAILIA PUBLIC FREE ZONE                                                                          , ISMAILIA                        , AI Isma iliyah    , 41639          , Egypt
Lotus Footwear Enterprises Ltd. (India Branch) - Unit 1                                    , FINISHED GOODS             , Footwear    , FENG TAY                                           , Plot No 3B SIPCOT Industrial Park                                                                  , Thiruvannamalai                 , Tamil Nadu        , 631701         , India
Tho Xuan Corporation Company Limited                                                       , FINISHED GOODS             , Apparel     , THO XUAN CORP                                      , THO XUAN TOWN INDUSTRIAL CLUSTER XUANTRUONG COMMU                                                  , Thanh Hoa                       , Thanh Hóa         , 40000          , Vietnam
ISA INDUSTRIAL CO LTD (VIETNAM)                                                            , MATERIALS                  , Footwear    , ISA                                                , LOT M2 M3 VIET HUONG 2 INDUSTRIAL ZONE AN TAY VILLAGE                                              , Binh Duong                      , Bình Duong        , 820000         , Vietnam
